state	power	likelihood
2510	1e-10	-116.069
2520	1e-10	-42.8839
2530	1e-10	-53.881
2540	1e-10	-41.8554
2550	1e-10	-41.8289
2560	1e-10	-728.787
2570	1e-10	-277.238
2580	1e-10	-88.5576
2590	1e-10	-46.8674
2600	1e-10	-521.379
2610	1e-10	-42.6018
2620	1e-10	-60.4768
2630	1e-10	-67.4806
2640	1e-10	-44.175
2650	1e-10	-129.679
2660	1e-10	-140.713
2670	1e-10	-48.3386
2680	1e-10	-171.581
2690	1e-10	-185.072
2700	1e-10	-241.296
2710	1e-10	-180.398
2720	1e-10	-43.38
2730	1e-10	-213.394
2740	1e-10	-448.417
2750	1e-10	-520.692
2760	1e-10	-58.1257
2770	1e-10	-219.04
2780	1e-10	-149.33
2790	1e-10	-377.235
2800	1e-10	-45.4243
2810	1e-10	-394.05
2820	1e-10	-82.8295
2830	1e-10	-41.8619
2840	1e-10	-264.727
2850	1e-10	-527.521
2860	1e-10	-211.806
2870	1e-10	-57.4198
2880	1e-10	-48.7829
2890	1e-10	-198.498
2900	1e-10	-120.742
2910	1e-10	-176.656
2920	1e-10	-687.439
2930	1e-10	-163.504
2940	1e-10	-138.324
2950	1e-10	-252.263
2960	1e-10	-70.2203
2970	1e-10	-45.3437
2980	1e-10	-320.673
2990	1e-10	-52.129
3000	1e-10	-44.372
3010	1e-10	-287.404
3020	1e-10	-283.306
3030	1e-10	-68.4614
3040	1e-10	-63.9185
3050	1e-10	-111.545
3060	1e-10	-43.182
3070	1e-10	-71.6113
3080	1e-10	-57.0011
3090	1e-10	-164.551
3100	1e-10	-112.256
3110	1e-10	-147.045
3120	1e-10	-51.9553
3130	1e-10	-235.391
3140	1e-10	-110.355
3150	1e-10	-485.142
3160	1e-10	-52.5778
3170	1e-10	-112.74
3180	1e-10	-259.636
3190	1e-10	-613.515
3200	1e-10	-47.3812
3210	1e-10	-89.5552
3220	1e-10	-44.4057
3230	1e-10	-46.6968
3240	1e-10	-67.1292
3250	1e-10	-975.361
3260	1e-10	-49.224
3270	1e-10	-287.428
3280	1e-10	-41.7616
3290	1e-10	-119.887
3300	1e-10	-61.9776
3310	1e-10	-158.659
3320	1e-10	-140.889
3330	1e-10	-178.208
3340	1e-10	-258.051
3350	1e-10	-109.543
3360	1e-10	-44.91
3370	1e-10	-229.229
3380	1e-10	-166.735
3390	1e-10	-49.3862
3400	1e-10	-49.3945
3410	1e-10	-45.9875
3420	1e-10	-68.1365
3430	1e-10	-251.142
3440	1e-10	-474.082
3450	1e-10	-151.834
3460	1e-10	-59.9954
3470	1e-10	-102.407
3480	1e-10	-51.1817
3490	1e-10	-335.975
3500	1e-10	-72.1958
3510	1e-10	-272.854
3520	1e-10	-191.988
3530	1e-10	-41.828
3540	1e-10	-71.2604
3550	1e-10	-99.2389
3560	1e-10	-104.756
3570	1e-10	-502.068
3580	1e-10	-125.147
3590	1e-10	-63.136
3600	1e-10	-91.8208
3610	1e-10	-210.055
3620	1e-10	-68.9129
3630	1e-10	-247.525
3640	1e-10	-132.67
3650	1e-10	-87.0271
3660	1e-10	-63.0314
3670	1e-10	-59.3894
3680	1e-10	-277.252
3690	1e-10	-66.1317
3700	1e-10	-111.127
3710	1e-10	-151.318
3720	1e-10	-305.646
3730	1e-10	-59.3247
3740	1e-10	-190.019
3750	1e-10	-216.656
3760	1e-10	-125.921
3770	1e-10	-198.783
3780	1e-10	-259.014
3790	1e-10	-188.075
3800	1e-10	-474.018
3810	1e-10	-109.514
3820	1e-10	-89.5102
3830	1e-10	-84.1696
3840	1e-10	-161.978
3850	1e-10	-226.405
3860	1e-10	-84.6389
3870	1e-10	-42.0148
3880	1e-10	-209.535
3890	1e-10	-208.855
3900	1e-10	-126.56
3910	1e-10	-450.21
3920	1e-10	-44.104
3930	1e-10	-155.2
3940	1e-10	-144.403
3950	1e-10	-139.85
3960	1e-10	-64.5597
3970	1e-10	-91.0434
3980	1e-10	-105.293
3990	1e-10	-219.099
4000	1e-10	-79.8926
4010	1e-10	-431.129
4020	1e-10	-183.352
4030	1e-10	-41.8831
4040	1e-10	-43.3693
4050	1e-10	-434.567
4060	1e-10	-172.509
4070	1e-10	-461.508
4080	1e-10	-267.654
4090	1e-10	-82.546
4100	1e-10	-101.717
4110	1e-10	-42.1552
4120	1e-10	-91.6777
4130	1e-10	-42.9393
4140	1e-10	-45.5659
4150	1e-10	-123.324
4160	1e-10	-350.329
4170	1e-10	-133.039
4180	1e-10	-184.184
4190	1e-10	-52.5421
4200	1e-10	-42.3549
4210	1e-10	-117.059
4220	1e-10	-96.6801
4230	1e-10	-44.2702
4240	1e-10	-63.6994
4250	1e-10	-70.0901
4260	1e-10	-67.8566
4270	1e-10	-190.401
4280	1e-10	-96.7888
4290	1e-10	-55.203
4300	1e-10	-62.757
4310	1e-10	-109.321
4320	1e-10	-426.005
4330	1e-10	-87.4798
4340	1e-10	-108.585
4350	1e-10	-140.603
4360	1e-10	-142.038
4370	1e-10	-80.1973
4380	1e-10	-43.2131
4390	1e-10	-56.4649
4400	1e-10	-666.952
4410	1e-10	-77.4454
4420	1e-10	-110.55
4430	1e-10	-45.4343
4440	1e-10	-163.018
4450	1e-10	-50.377
4460	1e-10	-103.724
4470	1e-10	-164.503
4480	1e-10	-46.0479
4490	1e-10	-48.9257
4500	1e-10	-79.6273
4510	1e-10	-254.873
4520	1e-10	-50.7503
4530	1e-10	-282.882
4540	1e-10	-84.0284
4550	1e-10	-235.747
4560	1e-10	-380.206
4570	1e-10	-192.479
4580	1e-10	-69.7365
4590	1e-10	-64.0684
4600	1e-10	-173.86
4610	1e-10	-143.254
4620	1e-10	-68.7762
4630	1e-10	-531.848
4640	1e-10	-448.037
4650	1e-10	-171.038
4660	1e-10	-41.9405
4670	1e-10	-240.929
4680	1e-10	-42.9197
4690	1e-10	-425.481
4700	1e-10	-201.562
4710	1e-10	-331.729
4720	1e-10	-93.5872
4730	1e-10	-244.432
4740	1e-10	-317.12
4750	1e-10	-249.72
4760	1e-10	-43.6373
4770	1e-10	-51.4578
4780	1e-10	-217.702
4790	1e-10	-490.277
4800	1e-10	-168.506
4810	1e-10	-259.673
4820	1e-10	-187.745
4830	1e-10	-271.838
4840	1e-10	-41.8139
4850	1e-10	-117.133
4860	1e-10	-49.5641
4870	1e-10	-63.5642
4880	1e-10	-56.9325
4890	1e-10	-143.729
4900	1e-10	-42.4515
4910	1e-10	-174.347
4920	1e-10	-1311.57
4930	1e-10	-46.4408
4940	1e-10	-146.637
4950	1e-10	-112.458
4960	1e-10	-94.3338
4970	1e-10	-111.581
4980	1e-10	-116.017
4990	1e-10	-260.046
5000	1e-10	-56.2472
5010	1e-10	-47.6294
5020	1e-10	-339.663
5030	1e-10	-173.719
5040	1e-10	-73.7928
5050	1e-10	-139.196
5060	1e-10	-69.1155
5070	1e-10	-47.369
5080	1e-10	-392.171
5090	1e-10	-232.756
5100	1e-10	-297.175
5110	1e-10	-113.865
5120	1e-10	-52.0201
5130	1e-10	-258.613
5140	1e-10	-125.86
5150	1e-10	-403.028
5160	1e-10	-174.133
5170	1e-10	-238.391
5180	1e-10	-259.706
5190	1e-10	-66.9136
5200	1e-10	-195.632
5210	1e-10	-47.3453
5220	1e-10	-151.759
5230	1e-10	-447.267
5240	1e-10	-45.3009
5250	1e-10	-144.61
5260	1e-10	-41.7481
5270	1e-10	-663.945
5280	1e-10	-72.5516
5290	1e-10	-126.869
5300	1e-10	-458.616
5310	1e-10	-162.548
5320	1e-10	-195.972
5330	1e-10	-46.3109
5340	1e-10	-307.492
5350	1e-10	-45.3692
5360	1e-10	-112.045
5370	1e-10	-314.934
5380	1e-10	-185.61
5390	1e-10	-102.28
5400	1e-10	-420.469
5410	1e-10	-390.422
5420	1e-10	-258.893
5430	1e-10	-113.655
5440	1e-10	-241.818
5450	1e-10	-151.231
5460	1e-10	-97.0017
5470	1e-10	-79.4499
5480	1e-10	-208.924
5490	1e-10	-116.906
5500	1e-10	-141.483
5510	1e-10	-105.62
5520	1e-10	-42.1317
5530	1e-10	-539.662
5540	1e-10	-97.5665
5550	1e-10	-209.191
5560	1e-10	-73.8307
5570	1e-10	-41.7646
5580	1e-10	-738.439
5590	1e-10	-543.866
5600	1e-10	-47.0986
5610	1e-10	-296.623
5620	1e-10	-61.6837
5630	1e-10	-44.8191
5640	1e-10	-75.5198
5650	1e-10	-162.984
5660	1e-10	-80.9681
5670	1e-10	-150.012
5680	1e-10	-48.6338
5690	1e-10	-87.7563
5700	1e-10	-88.4726
5710	1e-10	-46.277
5720	1e-10	-91.8357
5730	1e-10	-92.4244
5740	1e-10	-355.864
5750	1e-10	-370.893
5760	1e-10	-196.982
5770	1e-10	-73.8265
5780	1e-10	-53.2529
5790	1e-10	-119.114
5800	1e-10	-197.036
5810	1e-10	-137.007
5820	1e-10	-987.815
5830	1e-10	-142.106
5840	1e-10	-192.252
5850	1e-10	-63.6432
5860	1e-10	-83.8757
5870	1e-10	-95.7568
5880	1e-10	-129.189
5890	1e-10	-162.514
5900	1e-10	-68.9008
5910	1e-10	-56.127
5920	1e-10	-160.701
5930	1e-10	-158.859
5940	1e-10	-66.234
5950	1e-10	-155.66
5960	1e-10	-301.489
5970	1e-10	-96.9492
5980	1e-10	-41.924
5990	1e-10	-413.992
6000	1e-10	-60.4755
6010	1e-10	-70.0907
6020	1e-10	-204.916
6030	1e-10	-321.228
6040	1e-10	-227.54
6050	1e-10	-49.9394
6060	1e-10	-345.32
