state	power	likelihood
2510	1e-05	-42.1567
2520	1e-05	-152.726
2530	1e-05	-43.2717
2540	1e-05	-80.5944
2550	1e-05	-211.322
2560	1e-05	-83.0415
2570	1e-05	-346.137
2580	1e-05	-41.7537
2590	1e-05	-132.997
2600	1e-05	-257.242
2610	1e-05	-348.98
2620	1e-05	-761.185
2630	1e-05	-67.0526
2640	1e-05	-46.7982
2650	1e-05	-59.5284
2660	1e-05	-123.77
2670	1e-05	-1024.72
2680	1e-05	-130.319
2690	1e-05	-256.2
2700	1e-05	-94.262
2710	1e-05	-161.059
2720	1e-05	-81.2024
2730	1e-05	-178.368
2740	1e-05	-358.476
2750	1e-05	-128.982
2760	1e-05	-181.557
2770	1e-05	-67.8311
2780	1e-05	-137.426
2790	1e-05	-55.1332
2800	1e-05	-88.0909
2810	1e-05	-127.625
2820	1e-05	-98.9844
2830	1e-05	-437.959
2840	1e-05	-87.5003
2850	1e-05	-237.084
2860	1e-05	-182.849
2870	1e-05	-227.418
2880	1e-05	-178.6
2890	1e-05	-504.379
2900	1e-05	-150.916
2910	1e-05	-228.365
2920	1e-05	-250.232
2930	1e-05	-240.07
2940	1e-05	-217.959
2950	1e-05	-92.1057
2960	1e-05	-389.516
2970	1e-05	-228.649
2980	1e-05	-151.958
2990	1e-05	-113.743
3000	1e-05	-338.714
3010	1e-05	-287.199
3020	1e-05	-154.317
3030	1e-05	-160.248
3040	1e-05	-47.7026
3050	1e-05	-226.791
3060	1e-05	-143.765
3070	1e-05	-204.094
3080	1e-05	-229.858
3090	1e-05	-43.2575
3100	1e-05	-275.294
3110	1e-05	-304.503
3120	1e-05	-281.476
3130	1e-05	-78.83
3140	1e-05	-41.865
3150	1e-05	-110.427
3160	1e-05	-81.397
3170	1e-05	-271.726
3180	1e-05	-212.665
3190	1e-05	-43.2738
3200	1e-05	-182.269
3210	1e-05	-96.7825
3220	1e-05	-47.1909
3230	1e-05	-69.679
3240	1e-05	-102.764
3250	1e-05	-333.706
3260	1e-05	-62.39
3270	1e-05	-65.7102
3280	1e-05	-350.085
3290	1e-05	-189.378
3300	1e-05	-80.6709
3310	1e-05	-64.3247
3320	1e-05	-253.227
3330	1e-05	-166.926
3340	1e-05	-77.1855
3350	1e-05	-58.6185
3360	1e-05	-108.479
3370	1e-05	-874.637
3380	1e-05	-93.6354
3390	1e-05	-41.9609
3400	1e-05	-159.265
3410	1e-05	-145.358
3420	1e-05	-63.0931
3430	1e-05	-223.157
3440	1e-05	-382.127
3450	1e-05	-123.52
3460	1e-05	-81.9652
3470	1e-05	-118.02
3480	1e-05	-69.1137
3490	1e-05	-76.1814
3500	1e-05	-379.832
3510	1e-05	-315.911
3520	1e-05	-178.759
3530	1e-05	-149.67
3540	1e-05	-56.3004
3550	1e-05	-392.464
3560	1e-05	-239.478
3570	1e-05	-118.452
3580	1e-05	-41.9838
3590	1e-05	-111.145
3600	1e-05	-50.7749
3610	1e-05	-241.282
3620	1e-05	-42.8505
3630	1e-05	-63.3152
3640	1e-05	-296.179
3650	1e-05	-158.064
3660	1e-05	-223.414
3670	1e-05	-46.4591
3680	1e-05	-158.586
3690	1e-05	-56.2252
3700	1e-05	-102.223
3710	1e-05	-438.623
3720	1e-05	-77.7512
3730	1e-05	-158.485
