state	power	likelihood
2510	2.43e-08	-120.44
2520	2.43e-08	-41.8774
2530	2.43e-08	-71.7696
2540	2.43e-08	-155.125
2550	2.43e-08	-41.7671
2560	2.43e-08	-46.124
2570	2.43e-08	-42.444
2580	2.43e-08	-41.7839
2590	2.43e-08	-41.773
2600	2.43e-08	-53.3709
2610	2.43e-08	-42.2492
2620	2.43e-08	-182.534
2630	2.43e-08	-45.5563
2640	2.43e-08	-41.933
2650	2.43e-08	-53.329
2660	2.43e-08	-57.8485
2670	2.43e-08	-41.7629
2680	2.43e-08	-42.8947
2690	2.43e-08	-239.543
2700	2.43e-08	-100.493
2710	2.43e-08	-41.7863
2720	2.43e-08	-63.194
2730	2.43e-08	-44.3352
2740	2.43e-08	-41.8857
2750	2.43e-08	-93.4868
2760	2.43e-08	-55.7664
2770	2.43e-08	-41.8708
2780	2.43e-08	-45.3577
2790	2.43e-08	-42.2347
2800	2.43e-08	-44.7752
2810	2.43e-08	-63.9119
2820	2.43e-08	-48.5649
2830	2.43e-08	-41.8505
2840	2.43e-08	-42.7853
2850	2.43e-08	-53.5863
2860	2.43e-08	-69.4682
2870	2.43e-08	-48.8362
2880	2.43e-08	-51.8369
2890	2.43e-08	-119.907
2900	2.43e-08	-43.7927
2910	2.43e-08	-41.9196
2920	2.43e-08	-41.95
2930	2.43e-08	-134.795
2940	2.43e-08	-45.1118
2950	2.43e-08	-41.7821
2960	2.43e-08	-42.2394
2970	2.43e-08	-78.1313
2980	2.43e-08	-41.8709
2990	2.43e-08	-44.2721
3000	2.43e-08	-42.3369
3010	2.43e-08	-157.579
3020	2.43e-08	-89.8739
3030	2.43e-08	-43.3592
3040	2.43e-08	-42.7958
3050	2.43e-08	-41.9183
3060	2.43e-08	-105.794
3070	2.43e-08	-52.925
3080	2.43e-08	-41.9988
3090	2.43e-08	-41.841
3100	2.43e-08	-41.7683
3110	2.43e-08	-70.6462
3120	2.43e-08	-56.5813
3130	2.43e-08	-42.6357
3140	2.43e-08	-52.3815
3150	2.43e-08	-44.9845
3160	2.43e-08	-48.3304
3170	2.43e-08	-45.342
3180	2.43e-08	-55.4126
3190	2.43e-08	-53.6018
3200	2.43e-08	-53.1029
3210	2.43e-08	-64.0344
3220	2.43e-08	-41.7673
3230	2.43e-08	-41.7949
3240	2.43e-08	-52.0845
3250	2.43e-08	-51.5965
3260	2.43e-08	-46.53
3270	2.43e-08	-83.0311
3280	2.43e-08	-49.1745
3290	2.43e-08	-47.1342
3300	2.43e-08	-53.9133
3310	2.43e-08	-84.2201
3320	2.43e-08	-56.0096
3330	2.43e-08	-72.9259
3340	2.43e-08	-66.1114
3350	2.43e-08	-41.7766
3360	2.43e-08	-43.2803
3370	2.43e-08	-44.4345
3380	2.43e-08	-43.6285
3390	2.43e-08	-76.4308
3400	2.43e-08	-41.9434
3410	2.43e-08	-90.6908
3420	2.43e-08	-88.9437
3430	2.43e-08	-43.942
3440	2.43e-08	-42.3318
3450	2.43e-08	-47.39
3460	2.43e-08	-52.0058
3470	2.43e-08	-121.389
3480	2.43e-08	-46.5435
3490	2.43e-08	-72.8259
3500	2.43e-08	-55.2657
3510	2.43e-08	-45.1601
3520	2.43e-08	-41.752
3530	2.43e-08	-41.8833
3540	2.43e-08	-41.901
3550	2.43e-08	-41.7983
3560	2.43e-08	-42.3252
3570	2.43e-08	-74.8555
3580	2.43e-08	-53.8448
3590	2.43e-08	-65.0485
3600	2.43e-08	-70.7867
3610	2.43e-08	-41.9152
3620	2.43e-08	-42.4952
3630	2.43e-08	-41.8047
3640	2.43e-08	-44.0899
3650	2.43e-08	-41.7716
3660	2.43e-08	-49.3993
3670	2.43e-08	-43.9106
3680	2.43e-08	-51.6463
3690	2.43e-08	-41.7751
3700	2.43e-08	-64.8476
3710	2.43e-08	-41.7671
3720	2.43e-08	-59.429
3730	2.43e-08	-137.491
3740	2.43e-08	-84.1444
3750	2.43e-08	-57.3524
3760	2.43e-08	-41.9463
3770	2.43e-08	-73.4503
3780	2.43e-08	-66.6161
3790	2.43e-08	-53.7874
3800	2.43e-08	-62.6015
3810	2.43e-08	-42.1624
3820	2.43e-08	-43.4926
3830	2.43e-08	-41.7585
3840	2.43e-08	-78.6593
3850	2.43e-08	-47.4201
3860	2.43e-08	-49.6273
3870	2.43e-08	-42.191
3880	2.43e-08	-41.7994
3890	2.43e-08	-152.212
3900	2.43e-08	-42.7018
3910	2.43e-08	-43.8523
3920	2.43e-08	-42.7169
3930	2.43e-08	-41.7495
3940	2.43e-08	-47.0379
3950	2.43e-08	-119.866
3960	2.43e-08	-47.5449
3970	2.43e-08	-46.2107
3980	2.43e-08	-57.9103
3990	2.43e-08	-126.353
4000	2.43e-08	-44.2433
4010	2.43e-08	-41.7546
4020	2.43e-08	-76.7861
4030	2.43e-08	-41.9548
4040	2.43e-08	-70.8727
4050	2.43e-08	-47.2966
4060	2.43e-08	-41.7703
4070	2.43e-08	-77.8977
4080	2.43e-08	-70.3887
