state	power	likelihood
2510	0.270678	-45.8786
2520	0.270678	-42.0123
2530	0.270678	-41.8622
2540	0.270678	-41.7763
2550	0.270678	-42.0673
2560	0.270678	-42.0382
2570	0.270678	-41.7555
2580	0.270678	-41.8514
2590	0.270678	-41.8628
2600	0.270678	-43.1249
2610	0.270678	-41.7486
2620	0.270678	-52.5329
2630	0.270678	-42.9298
2640	0.270678	-42.0967
2650	0.270678	-46.3455
2660	0.270678	-41.7635
2670	0.270678	-41.7962
2680	0.270678	-43.3785
2690	0.270678	-41.8503
2700	0.270678	-42.9327
2710	0.270678	-41.8822
2720	0.270678	-41.7511
2730	0.270678	-45.4522
2740	0.270678	-41.7483
2750	0.270678	-41.9607
2760	0.270678	-41.9306
2770	0.270678	-45.3506
2780	0.270678	-41.7479
2790	0.270678	-50.3212
2800	0.270678	-43.7089
2810	0.270678	-41.9599
2820	0.270678	-41.7544
2830	0.270678	-41.907
2840	0.270678	-43.9096
2850	0.270678	-49.648
2860	0.270678	-41.8571
2870	0.270678	-42.3666
2880	0.270678	-43.058
2890	0.270678	-41.8073
2900	0.270678	-41.7535
2910	0.270678	-41.7532
2920	0.270678	-42.0159
2930	0.270678	-42.183
2940	0.270678	-41.7506
2950	0.270678	-41.7546
2960	0.270678	-42.1865
2970	0.270678	-41.9789
2980	0.270678	-42.5266
2990	0.270678	-46.97
3000	0.270678	-41.9428
3010	0.270678	-49.1421
3020	0.270678	-42.5255
3030	0.270678	-43.1154
3040	0.270678	-42.2956
3050	0.270678	-42.5122
3060	0.270678	-42.3214
3070	0.270678	-44.6857
3080	0.270678	-42.2519
3090	0.270678	-41.7575
3100	0.270678	-45.7885
3110	0.270678	-41.7715
3120	0.270678	-60.1169
3130	0.270678	-42.3843
3140	0.270678	-44.9507
3150	0.270678	-44.0136
3160	0.270678	-49.8783
3170	0.270678	-41.7613
3180	0.270678	-50.8584
3190	0.270678	-41.8851
3200	0.270678	-42.3206
3210	0.270678	-41.7641
3220	0.270678	-42.3045
3230	0.270678	-41.7517
3240	0.270678	-41.7845
3250	0.270678	-42.7395
3260	0.270678	-41.7816
3270	0.270678	-41.7972
3280	0.270678	-46.1372
3290	0.270678	-43.5885
3300	0.270678	-44.7967
3310	0.270678	-42.6793
3320	0.270678	-42.0394
3330	0.270678	-41.8047
3340	0.270678	-41.8034
3350	0.270678	-42.1492
3360	0.270678	-41.7811
3370	0.270678	-42.5532
3380	0.270678	-50.4815
3390	0.270678	-43.1258
3400	0.270678	-41.8147
3410	0.270678	-45.4899
3420	0.270678	-41.865
3430	0.270678	-41.7493
3440	0.270678	-41.9422
3450	0.270678	-42.3071
3460	0.270678	-42.1804
3470	0.270678	-42.184
3480	0.270678	-41.8014
3490	0.270678	-44.329
3500	0.270678	-41.8885
3510	0.270678	-46.8102
3520	0.270678	-44.7012
3530	0.270678	-41.8872
3540	0.270678	-42.092
3550	0.270678	-41.8355
3560	0.270678	-43.0851
3570	0.270678	-43.4362
3580	0.270678	-42.5901
3590	0.270678	-43.5048
3600	0.270678	-43.1026
3610	0.270678	-45.0571
3620	0.270678	-44.4508
3630	0.270678	-42.6114
3640	0.270678	-42.5279
3650	0.270678	-41.8042
3660	0.270678	-42.0921
3670	0.270678	-41.9906
3680	0.270678	-41.9793
3690	0.270678	-42.6213
3700	0.270678	-54.5563
3710	0.270678	-42.0767
3720	0.270678	-41.7709
3730	0.270678	-43.1524
3740	0.270678	-41.7827
3750	0.270678	-41.8861
3760	0.270678	-41.7632
3770	0.270678	-45.6741
3780	0.270678	-41.7628
3790	0.270678	-44.765
3800	0.270678	-41.9432
3810	0.270678	-42.6408
3820	0.270678	-42.3098
3830	0.270678	-45.3166
3840	0.270678	-47.2857
3850	0.270678	-44.2528
3860	0.270678	-52.8756
3870	0.270678	-42.1056
3880	0.270678	-43.2728
3890	0.270678	-41.986
3900	0.270678	-43.3503
3910	0.270678	-42.04
3920	0.270678	-41.7768
3930	0.270678	-41.7841
3940	0.270678	-43.5097
3950	0.270678	-41.882
3960	0.270678	-45.4087
3970	0.270678	-41.9697
3980	0.270678	-41.7611
3990	0.270678	-41.8033
4000	0.270678	-42.7671
4010	0.270678	-42.24
4020	0.270678	-42.9901
4030	0.270678	-41.7657
4040	0.270678	-41.7781
4050	0.270678	-41.9144
4060	0.270678	-42.4482
4070	0.270678	-41.8618
4080	0.270678	-48.6934
4090	0.270678	-42.4355
4100	0.270678	-42.8563
4110	0.270678	-46.1496
4120	0.270678	-41.9639
4130	0.270678	-43.3247
4140	0.270678	-42.5368
4150	0.270678	-41.7637
4160	0.270678	-42.4605
4170	0.270678	-43.183
4180	0.270678	-44.5404
4190	0.270678	-46.4904
4200	0.270678	-41.7914
4210	0.270678	-45.0674
4220	0.270678	-41.8558
4230	0.270678	-42.8499
4240	0.270678	-49.5131
4250	0.270678	-42.3247
4260	0.270678	-47.3017
4270	0.270678	-41.7535
4280	0.270678	-46.2973
4290	0.270678	-48.4843
4300	0.270678	-43.1899
4310	0.270678	-41.9748
4320	0.270678	-41.7952
4330	0.270678	-41.7504
4340	0.270678	-41.7572
4350	0.270678	-42.5675
4360	0.270678	-42.0248
4370	0.270678	-57.096
4380	0.270678	-46.1761
4390	0.270678	-41.8378
4400	0.270678	-42.2679
4410	0.270678	-41.9748
4420	0.270678	-50.0759
4430	0.270678	-42.85
4440	0.270678	-41.8989
4450	0.270678	-42.6223
4460	0.270678	-42.0252
4470	0.270678	-41.8463
4480	0.270678	-42.8453
4490	0.270678	-42.1106
4500	0.270678	-42.5747
4510	0.270678	-41.7535
4520	0.270678	-43.6131
4530	0.270678	-43.3089
4540	0.270678	-41.8468
4550	0.270678	-41.9562
4560	0.270678	-42.2658
4570	0.270678	-42.2075
4580	0.270678	-42.1816
4590	0.270678	-43.8192
4600	0.270678	-45.5816
4610	0.270678	-42.0613
4620	0.270678	-51.8482
4630	0.270678	-41.8173
4640	0.270678	-42.5741
4650	0.270678	-41.9482
4660	0.270678	-43.2841
4670	0.270678	-41.7479
4680	0.270678	-52.324
4690	0.270678	-43.0358
4700	0.270678	-42.3747
4710	0.270678	-42.3276
4720	0.270678	-41.8757
4730	0.270678	-43.0038
4740	0.270678	-41.8147
4750	0.270678	-43.5754
4760	0.270678	-42.0459
4770	0.270678	-41.7602
4780	0.270678	-41.7507
4790	0.270678	-43.1063
4800	0.270678	-42.0126
4810	0.270678	-42.3752
4820	0.270678	-41.7648
4830	0.270678	-42.029
4840	0.270678	-44.3446
4850	0.270678	-41.7712
4860	0.270678	-42.0988
4870	0.270678	-41.7542
4880	0.270678	-41.887
4890	0.270678	-42.0007
4900	0.270678	-42.3353
4910	0.270678	-44.2761
4920	0.270678	-41.7895
4930	0.270678	-46.0394
4940	0.270678	-41.8892
4950	0.270678	-42.0067
4960	0.270678	-41.753
4970	0.270678	-41.7598
4980	0.270678	-42.2851
4990	0.270678	-41.7623
5000	0.270678	-44.1452
5010	0.270678	-41.8228
5020	0.270678	-41.7483
5030	0.270678	-42.897
5040	0.270678	-44.453
5050	0.270678	-41.9993
5060	0.270678	-43.9445
5070	0.270678	-41.8738
5080	0.270678	-42.2236
5090	0.270678	-45.2975
5100	0.270678	-43.5846
5110	0.270678	-41.774
5120	0.270678	-41.8746
5130	0.270678	-45.4069
5140	0.270678	-41.8965
5150	0.270678	-42.6649
5160	0.270678	-41.813
5170	0.270678	-44.9807
5180	0.270678	-41.8378
5190	0.270678	-45.6478
5200	0.270678	-42.5139
5210	0.270678	-42.0442
5220	0.270678	-48.1225
5230	0.270678	-42.1733
5240	0.270678	-44.1458
5250	0.270678	-49.849
5260	0.270678	-44.2144
5270	0.270678	-47.8288
5280	0.270678	-41.779
5290	0.270678	-41.7902
5300	0.270678	-42.8326
5310	0.270678	-42.0162
5320	0.270678	-41.9786
5330	0.270678	-41.751
5340	0.270678	-43.7855
5350	0.270678	-45.4978
5360	0.270678	-41.9759
5370	0.270678	-41.8904
5380	0.270678	-54.4027
5390	0.270678	-42.0439
5400	0.270678	-42.0151
5410	0.270678	-42.9154
5420	0.270678	-49.6477
5430	0.270678	-42.1075
5440	0.270678	-41.8155
5450	0.270678	-44.1017
5460	0.270678	-41.833
5470	0.270678	-43.0714
5480	0.270678	-46.8309
5490	0.270678	-41.7571
5500	0.270678	-43.5452
5510	0.270678	-42.9336
5520	0.270678	-48.3279
5530	0.270678	-43.3265
5540	0.270678	-46.0244
5550	0.270678	-41.998
5560	0.270678	-42.0302
5570	0.270678	-46.7914
5580	0.270678	-46.3463
5590	0.270678	-42.8911
5600	0.270678	-42.0781
5610	0.270678	-41.969
5620	0.270678	-45.0511
5630	0.270678	-42.1826
5640	0.270678	-41.7751
5650	0.270678	-41.7589
5660	0.270678	-42.344
5670	0.270678	-41.9881
5680	0.270678	-41.8745
5690	0.270678	-49.3605
5700	0.270678	-45.6975
5710	0.270678	-41.7963
5720	0.270678	-42.0011
5730	0.270678	-49.4936
5740	0.270678	-41.7543
5750	0.270678	-42.7623
5760	0.270678	-41.9524
5770	0.270678	-45.9838
5780	0.270678	-41.9062
5790	0.270678	-42.3614
5800	0.270678	-41.784
5810	0.270678	-41.7518
5820	0.270678	-41.7512
5830	0.270678	-42.3837
5840	0.270678	-41.8536
5850	0.270678	-41.7479
5860	0.270678	-41.8985
5870	0.270678	-41.8392
5880	0.270678	-51.1879
5890	0.270678	-42.2171
5900	0.270678	-42.1648
5910	0.270678	-42.6228
5920	0.270678	-41.8278
5930	0.270678	-41.8313
5940	0.270678	-42.3266
5950	0.270678	-41.7484
5960	0.270678	-43.383
5970	0.270678	-41.9503
5980	0.270678	-43.7714
5990	0.270678	-42.6095
6000	0.270678	-43.4971
6010	0.270678	-43.294
6020	0.270678	-50.4364
6030	0.270678	-42.4646
6040	0.270678	-42.2451
6050	0.270678	-41.7834
6060	0.270678	-41.8905
6070	0.270678	-41.824
6080	0.270678	-42.0093
6090	0.270678	-46.1174
6100	0.270678	-44.5634
6110	0.270678	-52.7672
6120	0.270678	-43.6024
6130	0.270678	-41.8085
6140	0.270678	-41.9906
6150	0.270678	-41.7761
6160	0.270678	-41.8587
6170	0.270678	-41.7601
6180	0.270678	-45.4906
6190	0.270678	-49.0234
6200	0.270678	-54.6516
6210	0.270678	-63.4967
6220	0.270678	-41.8088
6230	0.270678	-41.8969
6240	0.270678	-42.5639
6250	0.270678	-41.8101
6260	0.270678	-42.6539
6270	0.270678	-50.5778
6280	0.270678	-44.3638
6290	0.270678	-41.762
6300	0.270678	-41.8688
6310	0.270678	-41.9357
6320	0.270678	-42.5685
6330	0.270678	-41.7531
6340	0.270678	-43.3902
6350	0.270678	-41.884
6360	0.270678	-41.9461
6370	0.270678	-42.0453
6380	0.270678	-43.6395
6390	0.270678	-42.5338
6400	0.270678	-43.1898
6410	0.270678	-41.776
6420	0.270678	-42.0231
6430	0.270678	-41.7956
6440	0.270678	-41.7639
6450	0.270678	-44.4466
6460	0.270678	-45.4881
6470	0.270678	-41.8975
6480	0.270678	-42.0617
6490	0.270678	-41.8552
6500	0.270678	-41.95
6510	0.270678	-41.7488
6520	0.270678	-47.5227
6530	0.270678	-49.432
6540	0.270678	-41.985
6550	0.270678	-42.3009
6560	0.270678	-44.0952
6570	0.270678	-45.2585
6580	0.270678	-45.535
6590	0.270678	-42.4297
6600	0.270678	-41.8598
6610	0.270678	-45.4767
6620	0.270678	-47.1904
6630	0.270678	-43.2893
6640	0.270678	-41.7575
6650	0.270678	-43.2149
6660	0.270678	-42.1007
6670	0.270678	-49.588
6680	0.270678	-42.3041
