state	power	likelihood
2510	3.2768e-06	-47.9297
2520	3.2768e-06	-131.428
2530	3.2768e-06	-80.7188
2540	3.2768e-06	-61.0083
2550	3.2768e-06	-47.0851
2560	3.2768e-06	-105.622
2570	3.2768e-06	-41.7532
2580	3.2768e-06	-52.5602
2590	3.2768e-06	-44.3809
2600	3.2768e-06	-42.0051
2610	3.2768e-06	-45.5072
2620	3.2768e-06	-45.6266
2630	3.2768e-06	-42.8932
2640	3.2768e-06	-55.6444
2650	3.2768e-06	-42.1142
2660	3.2768e-06	-42.3489
2670	3.2768e-06	-41.9727
2680	3.2768e-06	-51.5014
2690	3.2768e-06	-58.3872
2700	3.2768e-06	-43.7811
2710	3.2768e-06	-86.9584
2720	3.2768e-06	-116.661
2730	3.2768e-06	-41.8437
2740	3.2768e-06	-46.6141
2750	3.2768e-06	-45.9579
2760	3.2768e-06	-142.46
2770	3.2768e-06	-196.569
2780	3.2768e-06	-41.755
2790	3.2768e-06	-43.0358
2800	3.2768e-06	-66.7152
2810	3.2768e-06	-50.069
2820	3.2768e-06	-45.0747
2830	3.2768e-06	-46.3701
2840	3.2768e-06	-67.1919
2850	3.2768e-06	-41.823
2860	3.2768e-06	-41.7549
2870	3.2768e-06	-45.5839
2880	3.2768e-06	-42.194
2890	3.2768e-06	-42.1843
2900	3.2768e-06	-47.5632
2910	3.2768e-06	-110.795
2920	3.2768e-06	-44.0758
2930	3.2768e-06	-52.7611
2940	3.2768e-06	-41.9525
2950	3.2768e-06	-43.0724
2960	3.2768e-06	-42.1853
2970	3.2768e-06	-84.4294
2980	3.2768e-06	-43.2115
2990	3.2768e-06	-41.9886
3000	3.2768e-06	-42.3426
3010	3.2768e-06	-51.6907
3020	3.2768e-06	-41.8107
3030	3.2768e-06	-123.986
3040	3.2768e-06	-43.0935
3050	3.2768e-06	-77.9239
3060	3.2768e-06	-41.8004
3070	3.2768e-06	-41.7822
3080	3.2768e-06	-66.4056
3090	3.2768e-06	-41.9975
3100	3.2768e-06	-63.2418
3110	3.2768e-06	-41.7654
3120	3.2768e-06	-41.908
3130	3.2768e-06	-46.6739
3140	3.2768e-06	-42.2383
3150	3.2768e-06	-44.6749
3160	3.2768e-06	-48.4191
3170	3.2768e-06	-44.1577
3180	3.2768e-06	-78.8417
3190	3.2768e-06	-61.4095
3200	3.2768e-06	-42.7331
3210	3.2768e-06	-41.7834
3220	3.2768e-06	-42.2459
3230	3.2768e-06	-42.0991
3240	3.2768e-06	-68.0804
3250	3.2768e-06	-57.1716
3260	3.2768e-06	-66.407
3270	3.2768e-06	-53.7794
3280	3.2768e-06	-43.5945
3290	3.2768e-06	-42.8866
3300	3.2768e-06	-52.3329
3310	3.2768e-06	-43.5962
3320	3.2768e-06	-69.2456
3330	3.2768e-06	-94.9349
3340	3.2768e-06	-107.548
3350	3.2768e-06	-42.5789
3360	3.2768e-06	-101.284
3370	3.2768e-06	-89.055
3380	3.2768e-06	-45.9653
3390	3.2768e-06	-42.2848
3400	3.2768e-06	-43.3074
3410	3.2768e-06	-46.0642
3420	3.2768e-06	-78.0372
3430	3.2768e-06	-57.6098
3440	3.2768e-06	-42.1247
3450	3.2768e-06	-53.4044
3460	3.2768e-06	-73.6357
3470	3.2768e-06	-42.2165
3480	3.2768e-06	-65.0914
3490	3.2768e-06	-101.16
3500	3.2768e-06	-67.6033
3510	3.2768e-06	-91.2269
3520	3.2768e-06	-60.6694
3530	3.2768e-06	-57.2501
3540	3.2768e-06	-172.981
3550	3.2768e-06	-52.5239
3560	3.2768e-06	-66.1832
3570	3.2768e-06	-45.5225
3580	3.2768e-06	-59.4304
3590	3.2768e-06	-42.9052
3600	3.2768e-06	-51.7078
3610	3.2768e-06	-41.7767
3620	3.2768e-06	-46.4561
3630	3.2768e-06	-41.9207
3640	3.2768e-06	-44.9977
3650	3.2768e-06	-59.7133
3660	3.2768e-06	-41.8354
3670	3.2768e-06	-49.2693
3680	3.2768e-06	-51.4489
3690	3.2768e-06	-96.7461
3700	3.2768e-06	-100.733
3710	3.2768e-06	-56.7144
3720	3.2768e-06	-54.5261
3730	3.2768e-06	-41.7776
3740	3.2768e-06	-44.049
3750	3.2768e-06	-63.8208
3760	3.2768e-06	-118.519
