state	power	likelihood
2510	3.2e-09	-60.509
2520	3.2e-09	-45.8208
2530	3.2e-09	-51.3944
2540	3.2e-09	-97.9063
2550	3.2e-09	-48.2525
2560	3.2e-09	-48.8398
2570	3.2e-09	-89.1223
2580	3.2e-09	-50.3885
2590	3.2e-09	-41.8307
2600	3.2e-09	-71.3031
2610	3.2e-09	-54.8044
2620	3.2e-09	-43.6973
2630	3.2e-09	-43.0023
2640	3.2e-09	-47.1763
2650	3.2e-09	-110.106
2660	3.2e-09	-41.8814
2670	3.2e-09	-47.0528
2680	3.2e-09	-48.3205
2690	3.2e-09	-88.8168
2700	3.2e-09	-62.4956
2710	3.2e-09	-60.6287
2720	3.2e-09	-56.5943
2730	3.2e-09	-43.9905
2740	3.2e-09	-61.2707
2750	3.2e-09	-45.6428
2760	3.2e-09	-43.5226
2770	3.2e-09	-77.7521
2780	3.2e-09	-57.8858
2790	3.2e-09	-41.8065
2800	3.2e-09	-169.958
2810	3.2e-09	-42.8114
2820	3.2e-09	-59.7735
2830	3.2e-09	-41.8399
2840	3.2e-09	-62.2532
2850	3.2e-09	-77.7323
2860	3.2e-09	-42.458
2870	3.2e-09	-42.59
2880	3.2e-09	-41.755
2890	3.2e-09	-47.3833
2900	3.2e-09	-41.8606
2910	3.2e-09	-41.9144
2920	3.2e-09	-70.8106
2930	3.2e-09	-42.5423
2940	3.2e-09	-49.6456
2950	3.2e-09	-65.9064
2960	3.2e-09	-44.5148
2970	3.2e-09	-42.0257
2980	3.2e-09	-49.5985
2990	3.2e-09	-42.4521
3000	3.2e-09	-53.8576
3010	3.2e-09	-44.2201
3020	3.2e-09	-198.8
3030	3.2e-09	-69.5821
3040	3.2e-09	-55.535
3050	3.2e-09	-41.7726
3060	3.2e-09	-44.0672
3070	3.2e-09	-53.3291
3080	3.2e-09	-48.5639
3090	3.2e-09	-80.0937
3100	3.2e-09	-41.7636
3110	3.2e-09	-66.863
3120	3.2e-09	-44.1728
3130	3.2e-09	-45.5646
3140	3.2e-09	-41.7796
3150	3.2e-09	-116.198
3160	3.2e-09	-54.4979
3170	3.2e-09	-43.1567
3180	3.2e-09	-56.8984
3190	3.2e-09	-76.5633
3200	3.2e-09	-85.0186
3210	3.2e-09	-55.9994
3220	3.2e-09	-70.0591
3230	3.2e-09	-41.7658
3240	3.2e-09	-84.2248
3250	3.2e-09	-49.6684
3260	3.2e-09	-41.764
3270	3.2e-09	-68.5992
3280	3.2e-09	-42.8018
3290	3.2e-09	-45.599
3300	3.2e-09	-67.8707
3310	3.2e-09	-50.5181
3320	3.2e-09	-49.0471
3330	3.2e-09	-57.691
3340	3.2e-09	-71.5052
3350	3.2e-09	-41.8139
3360	3.2e-09	-41.9902
3370	3.2e-09	-42.3696
3380	3.2e-09	-41.7828
3390	3.2e-09	-41.7796
3400	3.2e-09	-41.7719
3410	3.2e-09	-52.771
3420	3.2e-09	-43.3392
3430	3.2e-09	-43.1572
3440	3.2e-09	-42.8643
3450	3.2e-09	-61.6218
3460	3.2e-09	-42.9793
3470	3.2e-09	-54.1284
3480	3.2e-09	-42.1388
3490	3.2e-09	-41.9368
3500	3.2e-09	-45.6425
3510	3.2e-09	-72.2642
3520	3.2e-09	-66.1632
3530	3.2e-09	-41.8682
3540	3.2e-09	-91.6952
3550	3.2e-09	-42.9624
3560	3.2e-09	-72.4858
3570	3.2e-09	-69.1429
3580	3.2e-09	-45.6052
3590	3.2e-09	-45.1305
3600	3.2e-09	-41.766
3610	3.2e-09	-41.9309
3620	3.2e-09	-112.835
3630	3.2e-09	-41.7662
3640	3.2e-09	-47.067
3650	3.2e-09	-43.5711
3660	3.2e-09	-41.8717
3670	3.2e-09	-48.1477
3680	3.2e-09	-96.1232
3690	3.2e-09	-42.412
3700	3.2e-09	-75.906
3710	3.2e-09	-48.894
3720	3.2e-09	-41.7983
3730	3.2e-09	-41.7881
3740	3.2e-09	-44.5757
3750	3.2e-09	-42.2569
3760	3.2e-09	-57.2004
3770	3.2e-09	-41.7911
3780	3.2e-09	-41.858
3790	3.2e-09	-41.7614
3800	3.2e-09	-53.6389
3810	3.2e-09	-73.8951
3820	3.2e-09	-60.1085
3830	3.2e-09	-52.2065
3840	3.2e-09	-105.695
3850	3.2e-09	-42.2403
3860	3.2e-09	-42.5107
3870	3.2e-09	-139.556
3880	3.2e-09	-73.8166
3890	3.2e-09	-59.4054
3900	3.2e-09	-43.1331
3910	3.2e-09	-44.018
3920	3.2e-09	-55.5854
3930	3.2e-09	-42.0101
